	year	author	title	filename code	api code	lang
46	1914	udgivet af Den Internasjonale bibelstudieforening	Norsk daggry-sangbog	2011051212004	2011051212004	nob
79	1925	Støylen, Bernt	Nynorsk salmebok : for kyrkja og heim og møte	2010102606030	2010102606030	nno
84	1931	Luther, Martin	Luthers lille katekisme med bibelord og salmevers	2009013000065	2009013000065	nob
87	1914	Jansen, Henrik	Bergen 1814-1914 : digte	2012022212004	2012022212004	nob
91	1926	Støylen, Bernt	Utgreiding um nynorsk salmebok	2008022704011	2008022704011	nno
96	1912	Lindeman, Ludv. M. (Ludvig Mathias)	Melodier til Brorsons Svanesang : for piano eller orgel : med underlagt tekst	2011121410001	2011121410001	nob
97	1922	Lindeman, Ludv. M. (Ludvig Mathias)	Koralbog : indeholdende de i Landstads salmebog forekommende melodier	2011060804031	2011060804031	nob
111	1943	Welhaven, J.S. (Johan Sebastian)	Samlede digterverker. B. 2	2008041500052	2008041500052	nob
112	1921	Welhaven, J.S. (Johan Sebastian)	Samlede digterverker. 3 : [Halvhundrede Digte]	2007092102002	2007092102002	nob
113	1943	Welhaven, J.S. (Johan Sebastian)	Samlede digterverker. B. 1	2008041500060	2008041500060	nob
114	1943	Welhaven, J.S. (Johan Sebastian)	Samlede digterverker. B. 3	2008042104034	2008042104034	nob
115	1944	Welhaven, J.S. (Johan Sebastian)	Norges demring : og andre dikt	2012032024065	2012032024065	nob
118	1907	Welhaven, J.S. (Johan Sebastian)	Samlede Digterverker. B. 4	2010061706071	2010061706071	nob
121	1907	Hurum, Olav	Dvergmaal : dikt	2008040200033	2008040200033	nob
124	1942	Thesen, Rolv	Mennesket og maktene : Olav Duuns dikting i vokster og fullending	2007011701030	2007011701030	nob
129	1933	Klem, Wilh.	Utvalgte dikt : til skolebruk	2006082800111	2006082800111	nob
132	1912	Sneve, O.S.	Samlede Sange og Digte	2013012108014	2013012108014	nob
143	1917	Hovden, Anders	Paa fallreipe : dikt	2006120501131	2006120501131	nno
144	1959	Hovden, Anders	Dikt i utval	2010111006026	2010111006026	nno
145	1938	Hovden, Anders	Fagnafolk : dikt	2012111406067	2012111406067	nno
146	1959	Hovden, Anders	Dikt i utval	2012012308310	2012012308310	nno
149	1941	Hovden, Anders	Kornmo : dikt	2008041401006	2008041401006	nno
150	1909	Hovden, Anders	Utpaa djupi og andre dikt	2006120101012	2006120101012	nno
151	1905	Hovden, Anders	Salme og Song	2008040201033	2008040201033	nno
153	1916	Berven, J.A.	Reisebreve og Digte	2008082104036	2008082104036	nob
159	1909	Holm, Conrad Lauritz	Heimlokk : dikt	2008040800036	2008040800036	nob
168	1928	Lie, Erik	Erindringer fra et dikterhjem	2006120401055	2006120401055	nob
170	1922	Hiorth-Schøyen, Rolf	Høk og due : nye digte	2011071506014	2011071506014	nob
173	1902	Sibbern, Georg	Efterladte Digte	2011102524009	2011102524009	nob
175	1907	Krag, Vilhelm	Sangen om Florens : Drama paa Vers i fem Akter	2008040200103	2008040200103	nob
176	1930	Krag, Vilhelm	Digte	2008041400023	2008041400023	nob
177	1911	Krag, Vilhelm	Fra det blaa Bryggerhus : af en Digters Optegnelser	2012100907178	2012100907178	nob
181	1932	Nordeide, Søren	Uppsedingsspursmål i Bjørnsons diktverk	2006121301001	2006121301001	nno
198	1920	Lie, Jonas	Samlede Digterverker. 6 : Otte Fortællinger ; Stemninger ; Kommandørens Døttre	2010070205095	2010070205095	nob
199	1920	Lie, Jonas	"Samlede Digterverker. 1 : Den Fremsynte ; Fortællinger og Skildringer ; Tremasteren ""Fremtiden"""	2010070605049	2010070605049	nob
